idx,doc_id,senti_score_assets,senti_score_economy,senti_score_expenses,senti_score_govt policy,senti_score_industry,senti_score_innovation,senti_score_liquidity,senti_score_margins,senti_score_merges_acquisitions,senti_score_negative indicators,senti_score_positive indicators,indicators_ratio,senti_score_pricing,senti_score_product portfolio,senti_score_ratio,senti_score_recent trends,senti_score_recognition_awards,senti_score_revenue,senti_score_stocks,company,BSE_Code,Release_Date,BSE_Code_Yr,id,yr,Base_Price,one_mnthcp,six_mnthcp,one_yearcp,one_mnthcpchngper,six_mnthcpchngper,one_yearcpchngper,y_target,y_segment,y_target1,y_target6,y_target12
446,D:\Danny\DATA_text\ROSSELLIND\5331680311.txt,2,4,1,8,4,8,1,2,1,2,1,0.5,3,3,5,2,2,1,2,ROSSELLIND,533168,1/3/2011,533168_2011,533168,2011,49.75,63.2,39.8,44.05,27,-20,-11.5,5.268115858,5to6,5.176149733,4.86753445,4.930870326
447,D:\Danny\DATA_text\ROSSELLIND\5331680313.txt,1.5,3,0.333333333,3,1,3,0.5,1,1,2,6,3,2,3,7,1,1,1,1,ROSSELLIND,533168,1/3/2013,533168_2013,533168,2013,38.65,41,30.65,47,6.1,-20.7,21.6,5.283203729,5to6,5.050496828,4.862135286,5.145166187
448,D:\Danny\DATA_text\ROSSELLIND\5331680315.txt,2,2,0.5,4.333333333,6,1.666666667,2,2,3,0.666666667,1,1.5,2,4,7,7,4,4,0.666666667,ROSSELLIND,533168,1/3/2015,533168_2015,533168,2015,74,141.9,98.4,155.5,91.8,33,110.1,5.721949779,5to6,5.488110938,5.209486153,5.561066172
449,D:\Danny\DATA_text\SCI\5235980310.txt,2,0.7,4,1.666666667,1.5,4.25,0.5,3,6,1.666666667,4,2.4,2,0.375,1.833333333,1.5,2,3,1,SCI,523598,1/3/2010,523598_2010,523598,2010,142.35,157.05,160.6,99.5,10.3,12.8,-30.1,5.519458915,5to6,5.07704706,5.092522454,4.786658062
450,D:\Danny\DATA_text\SCI\5235980311.txt,3,1.416666667,4,3.666666667,2,7,0.666666667,3,1,2.5,3,1.2,2,0.857142857,3.5,1.333333333,3,3.5,2,SCI,523598,1/3/2011,523598_2011,523598,2011,99.5,114.45,85.9,69.25,15,-13.7,-30.4,5.390212631,5to6,5.105945474,4.914858339,4.784152842
451,D:\Danny\DATA_text\SCI\5235980312.txt,3,1.285714286,5,2.25,5.5,5.333333333,2,3,2,1.5,3,2,2,2,2.714285714,1.333333333,3,2,2,SCI,523598,1/3/2012,523598_2012,523598,2012,69.25,62.05,51.35,47,-10.4,-25.8,-32.1,5.283203729,5to6,4.93878119,4.821893169,4.769836808
452,D:\Danny\DATA_text\SCI\5235980313.txt,3,1,5,2.166666667,3,5.666666667,1,1,2,1.333333333,1,0.75,2,0.5,5.333333333,4,4,4,2,SCI,523598,1/3/2013,523598_2013,523598,2013,47,42.65,30.6,35.3,-9.3,-34.9,-24.9,5.221976133,5to6,4.946629964,4.745801316,4.829113417
453,D:\Danny\DATA_text\SCI\5235980314.txt,5,1.111111111,6,1.875,2,10.5,2,1,3,2.5,2,0.8,1,0.4,8.5,7,1.5,2.5,1,SCI,523598,1/3/2014,523598_2014,523598,2014,35.3,46.7,60.2,56.9,32.3,70.5,61.2,5.332235585,5to6,5.205653682,5.395897695,5.352805552
454,D:\Danny\DATA_text\SHEMAROO\5386850315.txt,6,3,4,15,2.5,6,1,4,6,3,3,1,2,2,5.666666667,2.5,4,2.5,2,SHEMAROO,538685,1/3/2015,538685_2015,538685,2015,209.5,194.8,278.6,298.7,-7,33,42.6,6.106354513,6to7,4.96284463,5.209486153,5.260615499
455,D:\Danny\DATA_text\SHOPERSTOP\5326380310.txt,3,4,2,12,9,9,2,3,5,4,3,0.75,2,3,3,3,4,4,8,SHOPERSTOP,532638,1/3/2010,532638_2010,532638,2010,350.65,396.55,621.4,354.9,13.1,77.2,1.2,6.22436039,6to7,5.09436351,5.425830687,5.018603464
